project_id,pic,partner_role,pillar_abbr,pillar_descr,thematic_priority_abbr,signature_date,call_deadline_date,eu_contribution,legal_name,legal_short_name,legal_entity_type,country_code,legal_url,ec_contribution,net_ec_contribution,project_acronym,thematic_priority,topic_code,topic_description,participations,framework_programme,start_date,end_date,legal_basis,funding_scheme,country,re_contribution,pillar,signature_year,call_year,start_year
200186,999855437,Participant,NA,NA,NA,NA,NA,NA,Innsbruck Medical University,i-med,HES,AT,http://www.i-med.ac.at,15000,NA,EURENI,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,3,FP7,2007-07-01,2008-01-31,FP7-PEOPLE,CSA-SA,Austria,15000,NA,NA,NA,2007
200186,999869114,Coordinator,NA,NA,NA,NA,NA,NA,Universität Innsbruck,UIBK,HES,AT,http://www.uibk.ac.at,10000,NA,EURENI,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,3,FP7,2007-07-01,2008-01-31,FP7-PEOPLE,CSA-SA,Austria,10000,NA,NA,NA,2007
213131,999678509,Participant,NA,NA,NA,NA,NA,NA,DRUZBA ZA RAZISKAVE V CESTNI IN PROMETNI STROKI SLOVENIJE,DRC,PRC,SI,www.drc.si,11257,NA,TRA2008,Transport (including Aeronautics),TPT-2007-0.0-05,Raising Citizen Awareness of Transport Research in Europe,4,FP7,2007-09-01,2008-08-31,FP7-TRANSPORT,CSA-SA,Slovenia,11257,NA,NA,NA,2007
213131,999496828,Participant,NA,NA,NA,NA,NA,NA,FORUM DES LABORATOIRES NATIONAUX EUROPEENS DE RECHERCHE ROUTIERE FEHRLAISBL,FORUM OF EUROPEAN NATIONAL HIGHWAY RESEARCH LABORATORIES FEHRL,REC,BE,http://www.fehrl.org,44245,NA,TRA2008,Transport (including Aeronautics),TPT-2007-0.0-05,Raising Citizen Awareness of Transport Research in Europe,4,FP7,2007-09-01,2008-08-31,FP7-TRANSPORT,CSA-SA,Belgium,44245,NA,NA,NA,2007
213131,999706930,Participant,NA,NA,NA,NA,NA,NA,"DDC SVETOVANJE INZENIRING, DRUZBA ZA SVETOVANJE IN INZENIRING, DOO",DDC,PRC,SI,www.ddc.si,12081,NA,TRA2008,Transport (including Aeronautics),TPT-2007-0.0-05,Raising Citizen Awareness of Transport Research in Europe,4,FP7,2007-09-01,2008-08-31,FP7-TRANSPORT,CSA-SA,Slovenia,12081,NA,NA,NA,2007
213131,999527092,Coordinator,NA,NA,NA,NA,NA,NA,ZAVOD ZA GRADBENISTVO SLOVENIJE,ZAG Ljubljana,REC,SI,http://www.zag.si,82417,NA,TRA2008,Transport (including Aeronautics),TPT-2007-0.0-05,Raising Citizen Awareness of Transport Research in Europe,4,FP7,2007-09-01,2008-08-31,FP7-TRANSPORT,CSA-SA,Slovenia,82417,NA,NA,NA,2007
214579,999750580,Participant,NA,NA,NA,NA,NA,NA,STMICROELECTRONICS CROLLES 2 SAS,STM CROLLES,PRC,FR,www.st.com,272054,NA,DUALLOGIC,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,10,FP7,2007-12-01,2011-05-31,FP7-ICT,CP,France,272054,NA,NA,NA,2007
214579,999992401,Participant,NA,NA,NA,NA,NA,NA,COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,CEA,REC,FR,http://www.cea.fr,782316,NA,DUALLOGIC,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,10,FP7,2007-12-01,2011-05-31,FP7-ICT,CP,France,782316,NA,NA,NA,2007
214579,999981149,Participant,NA,NA,NA,NA,NA,NA,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,IMEC,REC,BE,http://www.imec.be,1363891,NA,DUALLOGIC,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,10,FP7,2007-12-01,2011-05-31,FP7-ICT,CP,Belgium,1363891,NA,NA,NA,2007
214579,999909854,Participant,NA,NA,NA,NA,NA,NA,IBM RESEARCH GMBH,IBM,PRC,CH,http://www.zurich.ibm.com,587094,NA,DUALLOGIC,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,10,FP7,2007-12-01,2011-05-31,FP7-ICT,CP,Switzerland,587094,NA,NA,NA,2007
214579,999949236,Participant,NA,NA,NA,NA,NA,NA,NXP SEMICONDUCTORS BELGIUM NV,NXP,PRC,BE,NA,56164,NA,DUALLOGIC,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,10,FP7,2007-12-01,2011-05-31,FP7-ICT,CP,Belgium,56164,NA,NA,NA,2007
214579,999978239,Coordinator,NA,NA,NA,NA,NA,NA,"""NATIONAL CENTER FOR SCIENTIFIC RESEARCH """"DEMOKRITOS""""""","""NCSR """"D""""""",REC,EL,http://www.demokritos.gr,619344,NA,DUALLOGIC,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,10,FP7,2007-12-01,2011-05-31,FP7-ICT,CP,Greece,619344,NA,NA,NA,2007
214579,999974165,Participant,NA,NA,NA,NA,NA,NA,UNIVERSITY OF GLASGOW,GLG,HES,UK,http://www.gla.ac.uk,616725,NA,DUALLOGIC,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,10,FP7,2007-12-01,2011-05-31,FP7-ICT,CP,United Kingdom,616725,NA,NA,NA,2007
214579,999991334,Participant,NA,NA,NA,NA,NA,NA,KATHOLIEKE UNIVERSITEIT LEUVEN,KU Leuven,HES,BE,http://www.kuleuven.be,328524,NA,DUALLOGIC,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,10,FP7,2007-12-01,2011-05-31,FP7-ICT,CP,Belgium,328524,NA,NA,NA,2007
214579,999951273,Participant,NA,NA,NA,NA,NA,NA,AIXTRON AG,AIXTRON,PRC,DE,http://www.aixtron.com,1173226,NA,DUALLOGIC,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,10,FP7,2007-12-01,2011-05-31,FP7-ICT,CP,Germany,1173226,NA,NA,NA,2007
216415,997834830,Participant,NA,NA,NA,NA,NA,NA,HONEYWELL INTERNATIONAL SRO,HON,PRC,CZ,NA,163780,NA,MERASA,Information and Communication Technologies,ICT-2007.3.4,Computing systems,6,FP7,2007-11-01,2010-10-31,FP7-ICT,CP,Czechia,163780,NA,NA,NA,2007
216415,999598678,Coordinator,NA,NA,NA,NA,NA,NA,UNIVERSITAET AUGSBURG,UAU,HES,DE,http://www.uni-augsburg.de,834980,NA,MERASA,Information and Communication Technologies,ICT-2007.3.4,Computing systems,6,FP7,2007-11-01,2010-10-31,FP7-ICT,CP,Germany,834980,NA,NA,NA,2007
216415,999952728,Participant,NA,NA,NA,NA,NA,NA,"HONEYWELL, SPOL. S.R.O",HONEYWELL,PRC,CZ,http://honeywell.jobs.cz/,0,NA,MERASA,Information and Communication Technologies,ICT-2007.3.4,Computing systems,6,FP7,2007-11-01,2010-10-31,FP7-ICT,CP,Czechia,0,NA,NA,NA,2007
216415,999851169,Participant,NA,NA,NA,NA,NA,NA,UNIVERSITE PAUL SABATIER TOULOUSE III,UNIVERSITE TOULOUSE III - Paul Sabatier,HES,FR,http://www.ups-tlse3.fr,304539,NA,MERASA,Information and Communication Technologies,ICT-2007.3.4,Computing systems,6,FP7,2007-11-01,2010-10-31,FP7-ICT,CP,France,304539,NA,NA,NA,2007
216415,999736612,Participant,NA,NA,NA,NA,NA,NA,RAPITA SYSTEMS LIMITED,RAPITA,PRC,UK,NA,393421,NA,MERASA,Information and Communication Technologies,ICT-2007.3.4,Computing systems,6,FP7,2007-11-01,2010-10-31,FP7-ICT,CP,United Kingdom,393421,NA,NA,NA,2007
216415,999655520,Participant,NA,NA,NA,NA,NA,NA,BARCELONA SUPERCOMPUTING CENTER-CENTRO NACIONAL DE SUPERCOMPUTACION,BSC CNS,REC,ES,http://www.bsc.es,403280,NA,MERASA,Information and Communication Technologies,ICT-2007.3.4,Computing systems,6,FP7,2007-11-01,2010-10-31,FP7-ICT,CP,Spain,403280,NA,NA,NA,2007
211806,999635926,Participant,NA,NA,NA,NA,NA,NA,CONSORZIO PER LA RICERCA E L EDUCAZIONE PERMANENTE TORINO,COREP,OTH,IT,www.corep.it,306448,NA,EUROTRAINING,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,5,FP7,2007-11-01,2010-10-31,FP7-ICT,CSA,Italy,306448,NA,NA,NA,2007
211806,999992401,Participant,NA,NA,NA,NA,NA,NA,COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,CEA,REC,FR,http://www.cea.fr,257924,NA,EUROTRAINING,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,5,FP7,2007-11-01,2010-10-31,FP7-ICT,CSA,France,257924,NA,NA,NA,2007
211806,999904228,Participant,NA,NA,NA,NA,NA,NA,BUDAPESTI MUSZAKI ES GAZDASAGTUDOMANYI EGYETEM,BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS,HES,HU,http://www.bme.hu,184575,NA,EUROTRAINING,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,5,FP7,2007-11-01,2010-10-31,FP7-ICT,CSA,Hungary,184575,NA,NA,NA,2007
211806,999990655,Participant,NA,NA,NA,NA,NA,NA,DANMARKS TEKNISKE UNIVERSITET,DTU,HES,DK,http://www.dtu.dk,252520,NA,EUROTRAINING,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,5,FP7,2007-11-01,2010-10-31,FP7-ICT,CSA,Denmark,252520,NA,NA,NA,2007
211806,999665802,Coordinator,NA,NA,NA,NA,NA,NA,TECHNOCONSULT APS,TC,PRC,DK,NA,396542,NA,EUROTRAINING,Information and Communication Technologies,ICT-2007.3.1,Next-generation nanoelectronic components and electronics integration,5,FP7,2007-11-01,2010-10-31,FP7-ICT,CSA,Denmark,396542,NA,NA,NA,2007
203103,999651931,Coordinator,NA,NA,NA,NA,NA,NA,VIB VZW,VLAAMS  INSTITUUT BIOTECHNOLOGIE FLANDERS INSTITUTE FOR BIOTECHNOLOGY,REC,BE,http://www.vib.be,100000,NA,YEAST SENSING,Marie-Curie Actions,PEOPLE-2007-4-3.IRG,Marie Curie Action: International Reintegration Grants,1,FP7,2007-09-01,2011-08-31,FP7-PEOPLE,MC-IRG,Belgium,100000,NA,NA,NA,2007
200232,999531554,Coordinator,NA,NA,NA,NA,NA,NA,TEMPUS KOZALAPITVAN,TPF,OTH,HU,http://www.tpf.iif.hu,9701,NA,HUNICITIES,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,12,FP7,2007-06-01,2007-12-31,FP7-PEOPLE,CSA-SA,Hungary,9701,NA,NA,NA,2007
200232,999860093,Participant,NA,NA,NA,NA,NA,NA,AGRICULTURAL RESEARCH INSTITUTE OF THE HUNGARIAN ACADEMY OF SCIENCES,ARI of HAS,REC,HU,http://www.mgki.hu,9000,NA,HUNICITIES,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,12,FP7,2007-06-01,2007-12-31,FP7-PEOPLE,CSA-SA,Hungary,9000,NA,NA,NA,2007
200232,999857086,Participant,NA,NA,NA,NA,NA,NA,BUDAPESTI CORVINUS EGYETEM,CUB,HES,HU,http://www.uni-corvinus.hu,9000,NA,HUNICITIES,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,12,FP7,2007-06-01,2007-12-31,FP7-PEOPLE,CSA-SA,Hungary,9000,NA,NA,NA,2007
200232,999881239,Participant,NA,NA,NA,NA,NA,NA,DEBRECENI EGYETEM,UD,HES,HU,http://www.unideb.hu,9416,NA,HUNICITIES,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,12,FP7,2007-06-01,2007-12-31,FP7-PEOPLE,CSA-SA,Hungary,9416,NA,NA,NA,2007
200232,999904228,Participant,NA,NA,NA,NA,NA,NA,BUDAPESTI MUSZAKI ES GAZDASAGTUDOMANYI EGYETEM,BME,HES,HU,http://www.bme.hu,9288,NA,HUNICITIES,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,12,FP7,2007-06-01,2007-12-31,FP7-PEOPLE,CSA-SA,Hungary,9288,NA,NA,NA,2007
200232,999451432,Participant,NA,NA,NA,NA,NA,NA,MISKOLCI EGYETEM,UM,HES,HU,http://www.uni-miskolc.hu,9039,NA,HUNICITIES,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,12,FP7,2007-06-01,2007-12-31,FP7-PEOPLE,CSA-SA,Hungary,9039,NA,NA,NA,2007
200232,999879687,Participant,NA,NA,NA,NA,NA,NA,PAZMANY PETER KATOLIKUS EGYETEM,PPCU,HES,HU,www.ppke.hu,9056,NA,HUNICITIES,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,12,FP7,2007-06-01,2007-12-31,FP7-PEOPLE,CSA-SA,Hungary,9056,NA,NA,NA,2007
200232,999879590,Participant,NA,NA,NA,NA,NA,NA,SZECHENYI ISTVAN UNIVERSITY,SIU,HES,HU,http://uni.sze.hu,9000,NA,HUNICITIES,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,12,FP7,2007-06-01,2007-12-31,FP7-PEOPLE,CSA-SA,Hungary,9000,NA,NA,NA,2007
200232,999896468,Participant,NA,NA,NA,NA,NA,NA,EÖTVÖS LORÁND TUDOMÁNYEGYETEM,ELTE,HES,HU,http://www.elte.hu,9000,NA,HUNICITIES,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,12,FP7,2007-06-01,2007-12-31,FP7-PEOPLE,CSA-SA,Hungary,9000,NA,NA,NA,2007
