project_id,pic,legal_name,legal_short_name,legal_entity_type,country_code,legal_url,partner_role,ec_contribution,net_ec_contribution,pillar_abbr,pillar_descr,thematic_priority_abbr,signature_date,call_deadline_date,eu_contribution,project_acronym,thematic_priority,topic_code,topic_description,participations,framework_programme,start_date,end_date,legal_basis,funding_scheme,pillar,re_contribution,signature_year,call_year,start_year,country
101036480,921103950,RACUNARSKA GIMNAZIJA SMART NOVI SAD,NA,HES,RS,NA,Participant,59375,59375,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,59375,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,59375,2021,2021,2022,Serbia
101036480,925291343,ECQA GMBH,ECQA,PRC,AT,NA,Participant,325972.5,325972.5,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,325972.5,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,325972.5,2021,2021,2022,Austria
101036480,998080337,ELLINOGERMANIKI AGOGI SCHOLI PANAGEA SAVVA AE,GREEKGERMAN EDUCATION SCHOOL PANAGEA SAVVA SA,HES,EL,www.ea.gr,Participant,103250,103250,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,103250,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,103250,2021,2021,2022,Greece
101036480,999655520,BARCELONA SUPERCOMPUTING CENTER-CENTRO NACIONAL DE SUPERCOMPUTACION,BSC CNS,REC,ES,http://www.bsc.es,Participant,469375,469375,EU.3.,Societal Challenges,ENV,2021-09-06,2021-01-27,469375,GreenSCENT,"Climate action, environment, resource efficiency and raw materials",LC-GD-10-3-2020,"Enabling citizens to act on climate change, for sustainable development and environmental protection through education, citizen science, observation initiatives, and civic engagement",19,H2020,2022-01-01,2024-12-31,H2020-EU.3.5.,IA,3,469375,2021,2021,2022,Spain
101025547,999467340,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,UC,HES,US,http://www.universityofcalifornia.edu/,Partner,NA,0,NA,NA,NA,NA,NA,NA,ANIMATE,Marie Sklodowska-Curie actions,MSCA-IF-2020,Individual Fellowships,2,H2020,2022-01-01,2024-12-31,H2020-EU.1.3.,MSCA-IF-GF,NA,0,NA,NA,2022,United States
101025547,999993953,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,UNIBO,HES,IT,http://www.unibo.it,Coordinator,269002.56,269002.56,EU.1.,Excellent Science,MSCA,2021-03-17,2020-09-09,269002.56,ANIMATE,Marie Sklodowska-Curie actions,MSCA-IF-2020,Individual Fellowships,2,H2020,2022-01-01,2024-12-31,H2020-EU.1.3.,MSCA-IF-GF,1,269002.56,2021,2020,2022,Italy
101003125,999993274,"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT",INRAE,REC,FR,http://www.inra.fr,Coordinator,2745251,NA,EU.1.,Excellent Science,ERC,2021-06-25,2020-02-05,2745251,COSMYCA,European Research Council,ERC-2020-COG,ERC CONSOLIDATOR GRANTS,1,H2020,2022-02-01,2027-01-31,NA,ERC-COG,1,2745251,2021,2020,2022,France
101030643,999993274,"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT",INRAE,REC,FR,http://www.inra.fr,Coordinator,196707.84,NA,EU.1.,Excellent Science,MSCA,2021-04-09,2020-09-09,196707.84,MEAL fish,Marie Sklodowska-Curie actions,MSCA-IF-2020,Individual Fellowships,1,H2020,2022-09-01,2024-08-31,NA,MSCA-IF-EF-ST,1,196707.84,2021,2020,2022,France
101036822,999929448,THE UNIVERSITY COURT OF THE UNIVERSITY OF ABERDEEN,UNIABDN,HES,UK,http://www.oceanlab.abdn.ac.uk,Participant,388416.25,388416.25,EU.3.,Societal Challenges,FOOD,2021-09-23,2021-01-27,388416.25,ClieNFarms,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",LC-GD-6-1-2020,Testing and demonstrating systemic innovations in support of the Farm-to-Fork Strategy,43,H2020,2022-01-01,2025-12-31,H2020-EU.3.2.,IA,3,388416.25,2021,2021,2022,United Kingdom
101036822,890316732,NUTRIFARMS SA,NA,PRC,PT,NA,Participant,124827.5,124827.5,EU.3.,Societal Challenges,FOOD,2021-09-23,2021-01-27,124827.5,ClieNFarms,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",LC-GD-6-1-2020,Testing and demonstrating systemic innovations in support of the Farm-to-Fork Strategy,43,H2020,2022-01-01,2025-12-31,H2020-EU.3.2.,IA,3,124827.5,2021,2021,2022,Portugal
101036822,890391810,CITIMAP SOCIETA CONSORTILE A RL,CITIMAP,PRC,IT,NA,Thirdparty,0,7000,NA,NA,NA,NA,NA,NA,ClieNFarms,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",LC-GD-6-1-2020,Testing and demonstrating systemic innovations in support of the Farm-to-Fork Strategy,43,H2020,2022-01-01,2025-12-31,H2020-EU.3.2.,IA,NA,7000,NA,NA,2022,Italy
101036822,996306013,AGRESEARCH LIMITED,NZAGRC,REC,NZ,www.agresearch.co.nz,Participant,0,0,EU.3.,Societal Challenges,FOOD,2021-09-23,2021-01-27,0,ClieNFarms,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",LC-GD-6-1-2020,Testing and demonstrating systemic innovations in support of the Farm-to-Fork Strategy,43,H2020,2022-01-01,2025-12-31,H2020-EU.3.2.,IA,3,0,2021,2021,2022,New Zealand
101036822,999926829,ELECTRICITE DE FRANCE,EDF,PRC,FR,http://www.edf.fr,Participant,271299,271299,EU.3.,Societal Challenges,FOOD,2021-09-23,2021-01-27,271299,ClieNFarms,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",LC-GD-6-1-2020,Testing and demonstrating systemic innovations in support of the Farm-to-Fork Strategy,43,H2020,2022-01-01,2025-12-31,H2020-EU.3.2.,IA,3,271299,2021,2021,2022,France
101036822,992582086,MASSEY UNIVERSITY,Massey,HES,NZ,www.massey.ac.nz,Participant,0,0,EU.3.,Societal Challenges,FOOD,2021-09-23,2021-01-27,0,ClieNFarms,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",LC-GD-6-1-2020,Testing and demonstrating systemic innovations in support of the Farm-to-Fork Strategy,43,H2020,2022-01-01,2025-12-31,H2020-EU.3.2.,IA,3,0,2021,2021,2022,New Zealand
101036822,999514967,CENTRE WALLON DE RECHERCHES AGRONOMIQUES,CRA-W,REC,BE,www.cra.wallonie.be,Participant,305675,305675,EU.3.,Societal Challenges,FOOD,2021-09-23,2021-01-27,305675,ClieNFarms,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",LC-GD-6-1-2020,Testing and demonstrating systemic innovations in support of the Farm-to-Fork Strategy,43,H2020,2022-01-01,2025-12-31,H2020-EU.3.2.,IA,3,305675,2021,2021,2022,Belgium
101036822,920187785,"CONSULAI, CONSULTORIA AGROINDUSTRIAL LDA",CONSULAI,PRC,PT,NA,Participant,394046.63,394046.63,EU.3.,Societal Challenges,FOOD,2021-09-23,2021-01-27,394046.63,ClieNFarms,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",LC-GD-6-1-2020,Testing and demonstrating systemic innovations in support of the Farm-to-Fork Strategy,43,H2020,2022-01-01,2025-12-31,H2020-EU.3.2.,IA,3,394046.63,2021,2021,2022,Portugal
101036822,906353548,DANTRADE BV,DanTrade,PRC,NL,NA,Participant,325395.88,144249.88,EU.3.,Societal Challenges,FOOD,2021-09-23,2021-01-27,144249.88,ClieNFarms,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",LC-GD-6-1-2020,Testing and demonstrating systemic innovations in support of the Farm-to-Fork Strategy,43,H2020,2022-01-01,2025-12-31,H2020-EU.3.2.,IA,3,144249.88,2021,2021,2022,Netherlands
101036822,907051754,NESTLE UK LTD,NESTLE,PRC,UK,NA,Participant,25812.5,25812.5,EU.3.,Societal Challenges,FOOD,2021-09-23,2021-01-27,25812.5,ClieNFarms,"Food security, sustainable agriculture and forestry, marine and maritime and inland water research",LC-GD-6-1-2020,Testing and demonstrating systemic innovations in support of the Farm-to-Fork Strategy,43,H2020,2022-01-01,2025-12-31,H2020-EU.3.2.,IA,3,25812.5,2021,2021,2022,United Kingdom
