project_id,pic,partner_role,pillar_abbr,pillar_descr,thematic_priority_abbr,signature_date,call_deadline_date,eu_contribution,legal_name,legal_short_name,legal_entity_type,country_code,legal_url,ec_contribution,net_ec_contribution,project_acronym,thematic_priority,topic_code,topic_description,participations,framework_programme,start_date,end_date,legal_basis,funding_scheme,country,re_contribution,pillar,signature_year,call_year,start_year
101018554,999897341,Coordinator,EU.1.,Excellent Science,MSCA,2021-04-08,2020-09-09,183473.28,UNIVERSITA CA' FOSCARI  VENEZIA,UNIVE,HES,IT,http://www.unive.it,183473.28,183473.28,GISARC,Marie Sklodowska-Curie actions,MSCA-IF-2020,Individual Fellowships,1,H2020,2023-01-01,2025-01-14,H2020-EU.1.3.,MSCA-IF-EF-ST,Italy,183473.28,1,2021,2020,2023
101031744,994491822,Coordinator,EU.1.,Excellent Science,MSCA,2021-04-23,2020-09-09,243963.6,FAKULTNI NEMOCNICE U SV. ANNY V BRNO*,ICRC BRNO,HES,CZ,http://www.fnusa.cz,243963.6,NA,MecHA-Nano,Marie Sklodowska-Curie actions,MSCA-IF-2020,Individual Fellowships,2,H2020,2023-04-01,2026-03-31,NA,MSCA-IF-GF,Czechia,243963.6,1,2021,2020,2023
101031744,999658818,Participant,EU.1.,Excellent Science,MSCA,2021-04-23,2020-09-09,0,NA,NA,NA,NA,NA,NA,NA,MecHA-Nano,Marie Sklodowska-Curie actions,MSCA-IF-2020,Individual Fellowships,2,H2020,2023-04-01,2026-03-31,NA,MSCA-IF-GF,Namibia,0,1,2021,2020,2023
101031744,999658818,Partner,NA,NA,NA,NA,NA,NA,UNIVERSITY OF MELBOURNE,UoM,HES,AU,http://www.unimelb.edu.au,NA,NA,MecHA-Nano,Marie Sklodowska-Curie actions,MSCA-IF-2020,Individual Fellowships,2,H2020,2023-04-01,2026-03-31,NA,MSCA-IF-GF,Australia,NA,NA,NA,NA,2023
101031543,999997930,Coordinator,NA,NA,NA,NA,NA,NA,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,CNRS,REC,FR,http://www.cnrs.fr,184707.84,184707.84,NA,NA,NA,NA,NA,NA,2023-01-01,2024-12-31,H2020-EU.1.3.,MSCA-IF-EF-RI,France,184707.84,NA,NA,NA,2023
